title,budget,revenue,roi
The World Is Not Enough,135000000,361832400,2.68
Sherlock Holmes: A Game of Shadows,125000000,334615000,2.68
Insurgent,110000000,295238201,2.68
Public Enemies,80000000,214104620,2.68
Epic,100000000,268426634,2.68
Red Dragon,78000000,209196298,2.68
The Devil's Advocate,57000000,152944660,2.68
The Giver,25000000,66980456,2.68
Diary of the Dead,2000000,5364858,2.68
Salt,110000000,293329073,2.67
Valkyrie,75000000,200276000,2.67
All About Steve,15000000,40105542,2.67
King Kong,207000000,550000000,2.66
World War Z,200000000,531865000,2.66
American Gangster,100000000,266465037,2.66
Bedtime Stories,80000000,212874442,2.66
The Santa Clause 2,65000000,172855065,2.66
The Jackal,60000000,159330280,2.66
Nanny McPhee and the Big Bang,35000000,93246388,2.66
Transporter 2,32000000,85167639,2.66
Harold & Kumar Go to White Castle,9000000,23936908,2.66
Mission: Impossible III,150000000,397850012,2.65
Captain America: The First Avenger,140000000,370569774,2.65
Prisoners,46000000,122126687,2.65
Edward Scissorhands,20000000,53000000,2.65
Lone Star,5000000,13269963,2.65
Gone in Sixty Seconds,90000000,237202299,2.64
Perfume: The Story of a Murderer,50000000,132180323,2.64
Anastasia,53000000,139804348,2.64
Scarface,25000000,65884703,2.64
August Rush,25000000,66122026,2.64
Baggage Claim,8500000,22456509,2.64
Creepshow,8000000,21028755,2.63
The Mask of Zorro,95000000,250288523,2.63
Days of Thunder,60000000,157920733,2.63
Old Dogs,35000000,92219310,2.63
The Age of Adaline,25000000,65663276,2.63
Halloween II,15000000,39421467,2.63
50 First Dates,75000000,196482882,2.62
Ghost Rider: Spirit of Vengeance,57000000,149217355,2.62
We Own the Night,21000000,54926886,2.62
Silent Hill: Revelation 3D,20000000,52302796,2.62
The Switch,19000000,49830607,2.62
Soul Surfer,18000000,47088990,2.62
Jumper,85000000,222231186,2.61
The Client,45000000,117615211,2.61
Underworld: Rise of the Lycans,35000000,91353501,2.61
"Big Mommas: Like Father, Like Son",32000000,83615414,2.61
13 Going on 30,37000000,96455697,2.61
Legion,26000000,67918658,2.61
Derailed,22000000,57479076,2.61
The Time Traveler's Wife,39000000,101229792,2.6
The Rite,37000000,96047633,2.6
Johnson Family Vacation,12000000,31179516,2.6
How High,12000000,31155435,2.6
World Trade Center,63000000,162945894,2.59
The Thomas Crown Affair,48000000,124305181,2.59
The Mexican,57000000,147845033,2.59
Riddick,38000000,98337295,2.59
The Number 23,30000000,77566815,2.59
Shortbus,2000000,5179037,2.59
The Girl with the Dragon Tattoo,90000000,232617430,2.58
It's Complicated,85000000,219103655,2.58
Dolphin Tale,37000000,95404397,2.58
Kiss of the Dragon,25000000,64437847,2.58
The Whole Nine Yards,41300000,106371651,2.58
The Last Dragon,10000000,25754284,2.58
Star Trek,150000000,385680446,2.57
Daybreakers,20000000,51416464,2.57
The Perks of Being a Wallflower,13000000,33400000,2.57
Evita,55000000,141047179,2.56
Coach Carter,30000000,76669806,2.56
Horrible Bosses 2,42000000,107670357,2.56
Can't Hardly Wait,10000000,25605015,2.56
The Adjustment Bureau,50200000,127869379,2.55
Doubt,20000000,50907234,2.55
The Princess and the Frog,105000000,267045765,2.54
Double Jeopardy,70000000,177841558,2.54
New Year's Eve,56000000,142044638,2.54
Beastly,17000000,43165571,2.54
Mad Max: Fury Road,150000000,378858340,2.53
The Godfather: Part III,54000000,136766062,2.53
Coyote Ugly,45000000,113916474,2.53
EverAfter,26000000,65705772,2.53
The Roommate,16000000,40492759,2.53
Killing Them Softly,15000000,37930465,2.53
Yentl,12000000,30400000,2.53
Die Welle,7500000,19000000,2.53
Yogi Bear,80000000,201584141,2.52
Dr. Dolittle 2,70000000,176104344,2.52
This Is 40,35000000,88058786,2.52
30 Days of Night,30000000,75505973,2.52
Contraband,25000000,63100000,2.52
The Proposition,2000000,5048693,2.52
Unbroken,65000000,163442937,2.51
Nacho Libre,32000000,80197993,2.51
The General's Daughter,60000000,149705852,2.5
Baahubali: The Beginning,40000000,100000000,2.5
Sweet Charity,8000000,20000000,2.5
The Man Who Shot Liberty Valance,3200000,8000000,2.5
Batman Begins,150000000,374218673,2.49
X-Men Origins: Wolverine,150000000,373062864,2.49
Elysium,115000000,286140700,2.49
Eragon,100000000,249288105,2.49
The Peanuts Movie,99000000,246233113,2.49
Eyes Wide Shut,65000000,162091208,2.49
The Prince of Tides,30000000,74787599,2.49
She's Out of My League,20000000,49779728,2.49
White Fang,14000000,34793160,2.49
Megamind,130000000,321887208,2.48
Dangerous Liaisons,14000000,34670720,2.48
Død snø,800000,1984662,2.48
Insomnia,46000000,113714830,2.47
Sky High,35000000,86369815,2.47
Oz: The Great and Powerful,200000000,491868548,2.46
Star Trek Into Darkness,190000000,467365246,2.46
Escape Plan,50000000,122915111,2.46
Brick Mansions,28000000,68896829,2.46
Ex Machina,15000000,36869414,2.46
Donovan's Reef,2686000,6600000,2.46
Safe House,85000000,208076205,2.45
AVP: Alien vs. Predator,70000000,171183863,2.45
Couples Retreat,70000000,171844840,2.45
V for Vendetta,54000000,132511035,2.45
Lone Wolf McQuade,5000000,12232628,2.45
Paul,40000000,97552050,2.44
Max Payne,35000000,85416905,2.44
Solomon and Sheba,5000000,12200000,2.44
Hercules,100000000,243400000,2.43
Cloudy with a Chance of Meatballs,100000000,242988466,2.43
Scream 4,40000000,97138686,2.43
Date Movie,20000000,48548426,2.43
Phantasm II,3000000,7282851,2.43
Eraser,100000000,242295562,2.42
"You, Me and Dupree",54000000,130431368,2.42
8MM,40000000,96618699,2.42
J. Edgar,35000000,84606030,2.42
This Means War,65000000,156974557,2.41
We Bought a Zoo,50000000,120081841,2.4
Black or White,9000000,21571189,2.4
House of 1000 Corpses,7000000,16829545,2.4
Lara Croft: Tomb Raider,115000000,274703340,2.39
Law Abiding Citizen,53000000,126690726,2.39
Black Christmas,9000000,21510851,2.39
Barbecue,6000000,14348529,2.39
Get on the Bus,2400000,5731103,2.39
Angels & Demons,150000000,356613439,2.38
Oblivion,120000000,286168572,2.38
Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,2.38
The Nutty Professor,54000000,128769345,2.38
Unfaithful,50000000,119137784,2.38
Beverly Hills Cop III,50000000,119208989,2.38
The Princess Diaries 2: Royal Engagement,40000000,95149435,2.38
42,40000000,95020213,2.38
The To Do List,1500000,3566225,2.38
Home Run,1200000,2861020,2.38
L.I.E. Long Island Expressway,700000,1667192,2.38
Rush,38000000,90247624,2.37
Good Luck Chuck,25000000,59192128,2.37
The Place Beyond the Pines,15000000,35485608,2.37
Akeelah and the Bee,8000000,18948425,2.37
Pat Garrett & Billy the Kid,4638783,11000000,2.37
Independence Day: Resurgence,165000000,389681935,2.36
A.I. Artificial Intelligence,100000000,235926552,2.36
Flatliners,26000000,61489265,2.36
Texas Chainsaw 3D,20000000,47241945,2.36
TRON: Legacy,170000000,400062763,2.35
Abduction,35000000,82087155,2.35
Six Days Seven Nights,70000000,164000000,2.34
Star Trek V: The Final Frontier,30000000,70200000,2.34
Whatever Works,15000000,35097815,2.34
Snow White and the Huntsman,170000000,396600000,2.33
The Forbidden Kingdom,55000000,127906624,2.33
Shaft,46000000,107196498,2.33
Training Day,45000000,104876233,2.33
The Skulls,15000000,35007180,2.33
Because of Winn-Dixie,14000000,32645546,2.33
Halloween 5: The Revenge of Michael Myers,5000000,11642254,2.33
Secretary,4000000,9304609,2.33
Open Season,85000000,197309027,2.32
The Longest Yard,82000000,190320568,2.32
First Knight,55000000,127600435,2.32
Secret Window,40000000,92913171,2.32
Final Destination,23000000,53302314,2.32
The Shining,19000000,44017374,2.32
Hall Pass,36000000,83160734,2.31
Alien: Resurrection,70000000,162000000,2.31
A Bridge Too Far,22000000,50750000,2.31
Pitch Black,23000000,53187659,2.31
Moby Dick,4500000,10400000,2.31
The League of Extraordinary Gentlemen,78000000,179265204,2.3
Olympus Has Fallen,70000000,161025640,2.3
Miracle,28000000,64445708,2.3
Risen,20000000,46069568,2.3
The World's End,20000000,46089287,2.3
Peggy Sue Got Married,18000000,41382841,2.3
In Bruges,15000000,34533783,2.3
कभी अलविदा ना कहना,7400000,17000000,2.3
Thirteen,2000000,4601043,2.3
The Expendables 3,90000000,206172544,2.29
Underworld: Awakening,70000000,160112671,2.29
Contagion,60000000,137551594,2.29
Behind Enemy Lines,40000000,91753202,2.29
Bridge to Terabithia,60000000,137587063,2.29
Tangled,260000000,591794936,2.28
The Holiday,85000000,194168700,2.28
Cleopatra,31115000,71000000,2.28
The X Files: I Want to Believe,30000000,68369434,2.28
The Debt,20000000,45636368,2.28
The Charge of the Light Brigade,1200000,2736000,2.28
Striptease,50000000,113309743,2.27
Wrong Turn,12600000,28650575,2.27
Another Year,8000000,18124262,2.27
Woman Thou Art Loosed,3000000,6804016,2.27
Pacific Rim,180000000,407602906,2.26
Stuart Little,133000000,300135367,2.26
Road to Perdition,80000000,181001478,2.26
Journey to the Center of the Earth,45000000,101702060,2.26
Cellular,25000000,56422687,2.26
Tombstone,25000000,56505065,2.26
Cradle 2 the Grave,25000000,56489558,2.26
Jaws: The Revenge,23000000,51881013,2.26
Becoming Jane,16500000,37311672,2.26
Talladega Nights: The Ballad of Ricky Bobby,72500000,162966177,2.25
Get Him to the Greek,40000000,90029656,2.25
Where the Heart Is,15000000,33771174,2.25
The Way of the Gun,8500000,19125401,2.25
Knight and Day,117000000,261930431,2.24
You Don't Mess with the Zohan,90000000,201596308,2.24
"I Love You, Man",41000000,91636986,2.24
Kiss the Girls,27000000,60527873,2.24
Prince of Persia: The Sands of Time,150000000,335154643,2.23
The Curious Case of Benjamin Button,150000000,333932083,2.23
Eagle Eye,80000000,178066569,2.23
Casino,52000000,116112375,2.23
Underworld: Evolution,50000000,111340801,2.23
Red Eye,26000000,57891803,2.23
Amour,8900000,19839492,2.23
Trading Places,40600000,90400000,2.23
4: Rise of the Silver Surfer,130000000,289047763,2.22
Flubber,80000000,177977226,2.22
Executive Decision,55000000,121969216,2.22
The Dukes of Hazzard,50000000,110803676,2.22
The Cabin in the Woods,30000000,66486080,2.22
X-Men: First Class,160000000,353624124,2.21
Dreamgirls,70000000,154937680,2.21
The Monuments Men,70000000,154984035,2.21
The Phantom of the Opera,70000000,154648887,2.21
Dick Tracy,47000000,103738726,2.21
Snowpiercer,39200000,86758912,2.21
The Back-Up Plan,35000000,77477008,2.21
Analyze This,80000000,176885658,2.21
Pete's Dragon,65000000,143695338,2.21
The Words,6000000,13231461,2.21
Before Sunrise,2500000,5535405,2.21
Moneyball,50000000,110206216,2.2
Spawn,40000000,87840042,2.2
Frequency,31000000,68106245,2.2
Max,20000000,43967255,2.2
Exorcist II: The Heretic,14000000,30749142,2.2
X-Men: The Last Stand,210000000,459359555,2.19
Cold Mountain,79000000,173013509,2.19
The Game,50000000,109423648,2.19
The Cable Guy,47000000,102825796,2.19
Courage Under Fire,46000000,100860818,2.19
Monsters vs Aliens,175000000,381509870,2.18
The Last House on the Left,15000000,32721635,2.18
Sorority Row,12500000,27206120,2.18
Corky Romano,11000000,23978402,2.18
My Blueberry Nights,10000000,21786738,2.18
Half Baked,8000000,17460020,2.18
Terminator 3: Rise of the Machines,200000000,435000000,2.17
Zoolander,28000000,60780981,2.17
Kick-Ass 2,28000000,60700000,2.17
Hotel Rwanda,17500000,38000000,2.17
The Illusionist,40000000,86915017,2.17
The November Man,15000000,32556119,2.17
Charlie's Angels: Full Throttle,120000000,259175788,2.16
102 Dalmatians,85000000,183611771,2.16
2 Guns,61000000,131940411,2.16
Jingle All the Way,60000000,129832389,2.16
Takers,32000000,69055695,2.16
Mud,10000000,21587700,2.16
Conversations with Other Women,450000,973525,2.16
Mirror Mirror,85000000,183018522,2.15
Cheaper by the Dozen 2,60000000,129181830,2.15
Revolutionary Road,35000000,75225693,2.15
The Count of Monte Cristo,35000000,75395048,2.15
The Darkest Hour,30000000,64626786,2.15
The Imaginarium of Doctor Parnassus,30000000,64352607,2.15
House on Haunted Hill,19000000,40846082,2.15
Far from Heaven,13500000,29027914,2.15
Only God Forgives,4800000,10337387,2.15
The Lincoln Lawyer,40000000,85412898,2.14
The Skeleton Key,43000000,91974818,2.14
The Bourne Legacy,130000000,276572938,2.13
Race to Witch Mountain,50000000,106303988,2.13
Chappie,49000000,104399548,2.13
From Hell,35000000,74558115,2.13
Baby Mama,30000000,63833449,2.13
Hanna,30000000,63782078,2.13
Tomcats,11000000,23430766,2.13
The Last Airbender,150000000,318502923,2.12
Rise of the Guardians,145000000,306941670,2.12
Gulliver's Travels,112000000,237382724,2.12
End of Days,100000000,211989043,2.12
Zookeeper,80000000,169852759,2.12
Red Riding Hood,42000000,89162162,2.12
Made of Honor,40000000,84601681,2.12
Dick,13000000,27500000,2.12
Annie Get Your Gun,3768785,8000000,2.12
Changing Lanes,45000000,94935764,2.11
Side Effects,30000000,63372757,2.11
Lake Placid,27000000,56870414,2.11
The Good Girl,8000000,16856124,2.11
Bad Boys II,130000000,273339556,2.1
Chicken Little,150000000,314432665,2.1
Hereafter,50000000,105197635,2.1
Agent Cody Banks,28000000,58795814,2.1
A Most Wanted Man,15000000,31554855,2.1
Flirting with Disaster,7000000,14702438,2.1
Turbo,135000000,282570682,2.09
The Secret Life of Walter Mitty,90000000,188133322,2.09
Hotel for Dogs,35000000,73034460,2.09
The Hitchhiker's Guide to the Galaxy,50000000,104478416,2.09
Runner Runner,30000000,62616646,2.09
Lucky Number Slevin,27000000,56308881,2.09
The Transporter,21000000,43928932,2.09
This Is Where I Leave You,19800000,41296320,2.09
Beyond the Lights,7000000,14618727,2.09
Moms' Night Out,5000000,10429707,2.09
Edge of Tomorrow,178000000,370541256,2.08
Ghost Rider,110000000,228738393,2.08
Coraline,60000000,124596398,2.08
The Bone Collector,73000000,151493655,2.08
Never Back Down,20000000,41627431,2.08
Orphan,20000000,41596251,2.08
The Big Hit,13000000,27007143,2.08
The Dead Zone,10000000,20766616,2.08
The Golden Compass,180000000,372234864,2.07
Bolt,150000000,309979994,2.07
Mirrors,35000000,72436439,2.07
Blue Crush,25000000,51842679,2.07
Dumb and Dumberer: When Harry Met Lloyd,19000000,39267515,2.07
Seed of Chucky,12000000,24829644,2.07
Maximum Risk,25000000,51702483,2.07
Glee: The Concert Movie,9000000,18663238,2.07
Annie,65000000,133821816,2.06
U-571,62000000,127666415,2.06
Amistad,36000000,74000000,2.06
Her,23000000,47351251,2.06
Man of the Year,20000000,41237648,2.06
Friends with Money,6500000,13368437,2.06
Two Girls and a Guy,1000000,2057193,2.06
Four Christmases,80000000,163733697,2.05
Changeling,55000000,113020255,2.05
Four Brothers,45000000,92374674,2.05
The Misfits,4000000,8200000,2.05
Lethal Weapon 4,140000000,285444603,2.04
Tropic Thunder,92000000,188072649,2.04
The Interpreter,80000000,162944923,2.04
Tower Heist,75000000,152930623,2.04
Invictus,60000000,122233971,2.04
A Guy Named Joe,2627000,5363000,2.04
The Haunted Mansion,90000000,182290266,2.03
Bride of Chucky,25000000,50671850,2.03
Reno 911!: Miami,10000000,20342161,2.03
Hell's Angels,3950000,8000000,2.03
Fun with Dick and Jane,100000000,202026112,2.02
RoboCop,120000000,242688965,2.02
DragonHeart,57000000,115267375,2.02
The Pacifier,56000000,113006880,2.02
Galaxy Quest,45000000,90683916,2.02
The Great Debaters,15000000,30226144,2.02
The Remains of the Day,11500000,23237911,2.02
Wrath of the Titans,150000000,301000000,2.01
Eddie the Eagle,23000000,46152800,2.01
Love Happens,18000000,36133014,2.01
Double Impact,15000000,30102717,2.01
When the Game Stands Tall,15000000,30127963,2.01
Cube,250000,501818,2.01
Hollow Man,95000000,190213455,2.0
Intolerable Cruelty,60000000,119940815,2.0
Free Birds,55000000,110000000,2.0
Don't Say a Word,50000000,100020092,2.0
Teenage Mutant Ninja Turtles III,21000000,42000000,2.0
Road House,15000000,30050028,2.0
In Too Deep,7000000,14011454,2.0
Tales from the Hood,6000000,12000000,2.0
Alexander's Ragtime Band,2000000,4000000,2.0
Daylight,80000000,159212469,1.99
What to Expect When You're Expecting,40000000,79700000,1.99
21,35000000,69823199,1.99
The Best Little Whorehouse in Texas,35000000,69701637,1.99
The Legend of Tarzan,180000000,356743061,1.98
Space Cowboys,65000000,128884132,1.98
Blade: Trinity,65000000,128905366,1.98
License to Wed,35000000,69307224,1.98
127 Hours,18000000,35692920,1.98
Step Brothers,65000000,128107642,1.97
The Pirates! In an Adventure with Scientists!,60000000,118338361,1.97
Guess Who,35000000,68915888,1.97
Delivery Man,26000000,51164106,1.97
Alpha and Omega,20000000,39300000,1.97
Jennifer's Body,16000000,31556061,1.97
Poetic Justice,14000000,27515786,1.97
The Patriot,110000000,215294342,1.96
The Book of Eli,80000000,157107755,1.96
Homefront,22000000,43058898,1.96
Freedom Writers,21000000,41170784,1.96
The Grudge 2,20000000,39143839,1.96
Confessions of a Teenage Drama Queen,15000000,29331068,1.96
G-Force,150000000,292817841,1.95
The Book of Life,50000000,97437106,1.95
Silent Hill,50000000,97607453,1.95
Must Love Dogs,30000000,58405313,1.95
Ghost Ship,35000000,68349884,1.95
Moon,5000000,9760104,1.95
Gangs of New York,100000000,193772504,1.94
Percy Jackson: Sea of Monsters,90000000,174578751,1.94
Stardust,70000000,135560026,1.94
Superman III,39000000,75850624,1.94
Les petits mouchoirs,25000000,48531470,1.94
Narc,6500000,12633747,1.94
The Princess Bride,16000000,30857814,1.93
Central do Brasil,2900000,5596708,1.93
Bee Movie,150000000,287594577,1.92
Wall Street: Money Never Sleeps,70000000,134748021,1.92
The Shadow,25000000,48063435,1.92
Aquamarine,12000000,23006849,1.92
Exodus: Gods and Kings,140000000,268031828,1.91
Batman & Robin,125000000,238207122,1.91
Memoirs of a Geisha,85000000,162242962,1.91
The Last Emperor,23000000,43984230,1.91
Rounders,12000000,22921898,1.91
Young Adult,12000000,22939027,1.91
The Good Dinosaur,175000000,331926147,1.9
The Green Hornet,120000000,227817248,1.9
Contact,90000000,171120329,1.9
The Legend of Zorro,75000000,142400065,1.9
A History of Violence,32000000,60740827,1.9
A Walk Among the Tombstones,28000000,53181600,1.9
Rushmore,9000000,17096053,1.9
The Andromeda Strain,6500000,12376563,1.9
Hellboy II: The Golden Army,85000000,160388063,1.89
Jack and Jill,79000000,149673788,1.89
The Thin Red Line,52000000,98126565,1.89
The Last of the Mohicans,40000000,75505856,1.89
Mr. Peabody & Sherman,145000000,272912430,1.88
After Earth,130000000,243843127,1.88
Black Hawk Down,92000000,172989651,1.88
Seven Years in Tibet,70000000,131457682,1.88
Syriana,50000000,94000000,1.88
Bedazzled,48000000,90383208,1.88
Snakes on a Plane,33000000,62022014,1.88
3 Days to Kill,28000000,52597999,1.88
How Stella Got Her Groove Back,20000000,37672350,1.88
The Covenant,20000000,37597471,1.88
The Chronicles of Narnia: Prince Caspian,225000000,419651413,1.87
Deep Impact,75000000,140464664,1.87
Monster House,75000000,140175006,1.87
天將雄師,65000000,121545703,1.87
GoodFellas,25000000,46836394,1.87
Antwone Fisher,12500000,23367586,1.87
The Birth of a Nation,8500000,15861566,1.87
Terminator Salvation,200000000,371353001,1.86
Star Trek Beyond,185000000,343471816,1.86
Clash of the Titans,125000000,232713139,1.86
The Fast and the Furious: Tokyo Drift,85000000,158468292,1.86
Munich,70000000,130358911,1.86
Man on Fire,70000000,130293714,1.86
Black Mass,53000000,98837872,1.86
Finding Forrester,43000000,80049764,1.86
Escape from Planet Earth,40000000,74597643,1.86
Crocodile Dundee in Los Angeles,21150000,39438674,1.86
A Very Harold & Kumar Christmas,19000000,35387212,1.86
The Polar Express,165000000,305875730,1.85
Cop Out,30000000,55583804,1.85
The Longest Ride,34000000,63013281,1.85
We Are Your Friends,6000000,11122090,1.85
Rush Hour 3,140000000,258022233,1.84
Firewall,45000000,82800000,1.84
Savages,45000000,82966152,1.84
Baby Boy,16000000,29381649,1.84
Bernie,5000000,9206470,1.84
Conspiracy Theory,75000000,136982834,1.83
The Three Stooges,30000000,54819301,1.83
My Best Friend's Girl,20000000,36620508,1.83
Burnt,20000000,36606743,1.83
A Dangerous Method,15000000,27462041,1.83
Rango,135000000,245724603,1.82
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,1.82
Lilo & Stitch,80000000,145771527,1.82
Any Given Sunday,55000000,100230832,1.82
All About the Benjamins,14000000,25482931,1.82
Barry Lyndon,11000000,20000000,1.82
Layer Cake,6500000,11850214,1.82
The Spiderwick Chronicles,90000000,162839667,1.81
Hairspray,50000000,90450008,1.81
A Knight's Tale,65000000,117487473,1.81
Blue Streak,65000000,117758500,1.81
Lions for Lambs,35000000,63215872,1.81
Adventureland,9500000,17164377,1.81
Be Cool,53000000,95226116,1.8
The Boxtrolls,60000000,108255770,1.8
Payback,90000000,161626121,1.8
The Five-Year Engagement,30000000,53909751,1.8
Shalako,1455000,2620000,1.8
Hulk,137000000,245360480,1.79
ParaNorman,60000000,107139399,1.79
Hot Tub Time Machine,36000000,64572262,1.79
Stranger Than Fiction,30000000,53653224,1.79
The Black Hole,20000000,35841901,1.79
Secret in Their Eyes,19500000,34854990,1.79
Rat Race,48000000,85498534,1.78
A Night at the Roxbury,17000000,30331165,1.78
Just Like Heaven,58000000,102854431,1.77
Failure to Launch,50000000,88715192,1.77
Shanghai Knights,50000000,88323487,1.77
Снежная королева,7000000,12400000,1.77
Alice Through the Looking Glass,170000000,299370084,1.76
The Three Musketeers,75000000,132274484,1.76
Big Fish,70000000,122919055,1.76
Being John Malkovich,13000000,22863596,1.76
Stir of Echoes,12000000,21133087,1.76
Sparkle,14000000,24637469,1.76
Legend of the Guardians: The Owls of Ga'Hoole,80000000,140073390,1.75
Surf's Up,85000000,149044513,1.75
Gangster Squad,60000000,105200903,1.75
Boomerang,40000000,70100000,1.75
The Walk,35000000,61181942,1.75
Along Came a Spider,60000000,105178561,1.75
The Fisher King,24000000,41895491,1.75
Zack and Miri Make a Porno,24000000,42105111,1.75
Joe Dirt,17700000,30987695,1.75
Elle s'appelait Sarah,10000000,17511906,1.75
Tea with Mussolini,12000000,21001563,1.75
In the Land of Women,10000000,17500000,1.75
The Saint,68000000,118063304,1.74
The American President,62000000,107879496,1.74
Under Siege 2: Dark Territory,60000000,104324083,1.74
Brooklyn's Finest,17000000,29536299,1.74
The Broken Hearts Club: A Romantic Comedy,1000000,1744858,1.74
G.I. Joe: The Rise of Cobra,175000000,302469017,1.73
Captain Phillips,55000000,95000000,1.73
Stigmata,29000000,50041732,1.73
Crank: High Voltage,20000000,34560577,1.73
Adaptation.,19000000,32801173,1.73
The Invention of Lying,18500000,31912793,1.73
The Matador,10000000,17297244,1.73
The Virgin Suicides,6000000,10409377,1.73
Our Idiot Brother,10000000,17273593,1.73
The Mothman Prophecies,32000000,55157539,1.72
Space Chimps,37000000,63800345,1.72
Secretariat,35000000,60251371,1.72
House of Wax,40000000,68766121,1.72
Arachnophobia,31000000,53208180,1.72
Legend,25000000,42972994,1.72
Pocketful of Miracles,2900000,5000000,1.72
Blood Diamond,100000000,170877916,1.71
Seabiscuit,87000000,148336445,1.71
Something Borrowed,35000000,59901913,1.71
The Tree of Life,32000000,54674226,1.71
Mortal Kombat: Annihilation,30000000,51376861,1.71
The Texas Chainsaw Massacre 2,4700000,8025872,1.71
The Other Guys,100000000,170432927,1.7
Lost in Space,80000000,136159423,1.7
The Naked Gun 33⅓: The Final Insult,30000000,51132598,1.7
The Next Three Days,30000000,51148651,1.7
Endless Love,20000000,34077920,1.7
The Emperor's New Groove,100000000,169327687,1.69
Charlotte's Web,85000000,144000000,1.69
Star Trek: Insurrection,70000000,118000000,1.69
Joy,60000000,101134059,1.69
Florence Foster Jenkins,29000000,48902953,1.69
She's the Man,20000000,33889159,1.69
The Sweeney,3730500,6294161,1.69
Sholem Aleichem: Laughing In The Darkness,500000,845188,1.69
Unstoppable,100000000,167805466,1.68
Marmaduke,50000000,83761844,1.68
Jersey Boys,40000000,67347013,1.68
Fever Pitch,30000000,50451307,1.68
Spaceballs,22700000,38119483,1.68
Friday After Next,20000000,33526835,1.68
The Namesake,12000000,20138836,1.68
Who Killed the Electric Car?,1000000,1678874,1.68
The Siege,70000000,116672912,1.67
The Judge,50000000,83719388,1.67
Brothers,26000000,43318349,1.67
Beginners,3200000,5332926,1.67
The Punisher,33000000,54700105,1.66
Undercover Brother,25000000,41604473,1.66
The Hours,25000000,41597830,1.66
Lara Croft Tomb Raider: The Cradle of Life,95000000,156505388,1.65
The Craft,15000000,24769466,1.65
Evil Dead II,3600000,5923044,1.65
Dark Shadows,150000000,245527149,1.64
Death Race,45000000,73762516,1.64
Hannibal Rising,50000000,82169884,1.64
Sweet November,40000000,65754228,1.64
The Sisterhood of the Traveling Pants 2,27000000,44352417,1.64
The Machinist,5000000,8203235,1.64
Requiem for a Dream,4500000,7390108,1.64
A Christmas Carol,200000000,325233863,1.63
Allegiant,110000000,179246868,1.63
Kingdom of Heaven,130000000,211643158,1.63
The Last Witch Hunter,90000000,146936910,1.63
Abraham Lincoln: Vampire Hunter,69000000,112265139,1.63
Burlesque,55000000,89519773,1.63
Radio,32000000,52277485,1.63
Predator 2,35000000,57120318,1.63
A Perfect Getaway,14000000,22852638,1.63
The Boy in the Striped Pyjamas,12500000,20416563,1.63
Last Action Hero,85000000,137298489,1.62
Body of Lies,70000000,113280098,1.62
Out of Sight,48000000,77745568,1.62
The Spy Next Door,28000000,45236543,1.62
War,25000000,40452643,1.62
Mo' Better Blues,10000000,16153593,1.62
Muppets Most Wanted,50000000,80383290,1.61
9,30000000,48428063,1.61
The Informant!,22000000,35424826,1.61
Lockout,20000000,32204030,1.61
2046,12000000,19271312,1.61
Fight Club,63000000,100853753,1.6
Paycheck,60000000,96269812,1.6
The Sweetest Thing,43000000,68696770,1.6
Exit Wounds,50000000,79958599,1.6
You Again,20000000,32005248,1.6
Ghostbusters,144000000,229147509,1.59
Meet Joe Black,90000000,142940100,1.59
Charlie Wilson's War,75000000,119000410,1.59
Fool's Gold,70000000,111231041,1.59
Little Man,64000000,101595121,1.59
Chi bi,80341000,127814609,1.59
Joy Ride,23000000,36642838,1.59
Team America: World Police,32000000,50907422,1.59
Walking With Dinosaurs,80000000,126546518,1.58
Paint Your Wagon,20000000,31678778,1.58
The Long Riders,10000000,15795189,1.58
Bon Cop Bad Cop,8000000,12671300,1.58
Buffalo '66,1500000,2375097,1.58
Now You See Me,75000000,117698894,1.57
Shooter,61000000,95696996,1.57
The Reaping,40000000,62771059,1.57
Looper,30000000,47042000,1.57
Blow,53000000,83282296,1.57
The Gambler,25000000,39171130,1.57
High Fidelity,30000000,47126295,1.57
Leap Year,19000000,29922472,1.57
Machete,20000000,31327899,1.57
The Devil's Own,90000000,140807547,1.56
Cats & Dogs,60000000,93375151,1.56
Two Weeks Notice,60000000,93354918,1.56
The Sisterhood of the Traveling Pants,25000000,39053061,1.56
Bound,4500000,7011317,1.56
Robin Hood,200000000,310669540,1.55
What Lies Beneath,100000000,155464351,1.55
Atlantis: The Lost Empire,120000000,186053725,1.55
Spy Game,92000000,143049560,1.55
The Time Machine,80000000,123729176,1.55
Little Shop of Horrors,25000000,38748395,1.55
Dante's Peak,116000000,178127760,1.54
The Ninth Gate,38000000,58401898,1.54
Jay and Silent Bob Strike Back,22000000,33788161,1.54
Jason X,11000000,16951798,1.54
Spirit: Stallion of the Cimarron,80000000,122563539,1.53
Surrogates,80000000,122444772,1.53
We Were Soldiers,75000000,114660784,1.53
Men of Honor,32000000,48814909,1.53
Black Rain,30000000,45892212,1.53
Million Dollar Arm,25000000,38307627,1.53
Return to Me,24000000,36609995,1.53
Our Family Wedding,14000000,21409028,1.53
Repo Man,1500000,2300000,1.53
The Little Prince,64000000,97571250,1.52
High Crimes,42000000,63781810,1.52
Colombiana,40000000,60965854,1.52
The Tigger Movie,30000000,45554533,1.52
