title,budget,revenue,roi
Knocked Up,30000000,219076518,7.3
West Side Story,6000000,43656822,7.28
A Man for All Seasons,3900000,28350000,7.27
Les Misérables,61000000,441809770,7.24
Million Dollar Baby,30000000,216763646,7.23
Cruel Intentions,10500000,75902208,7.23
10 Cloverfield Lane,15000000,108286421,7.22
Straight Outta Compton,28000000,201634991,7.2
Hit & Run,2000000,14400000,7.2
Scream 2,24000000,172363301,7.18
If I Stay,11000000,78874843,7.17
Ace Ventura: Pet Detective,15000000,107217396,7.15
Paper Towns,12000000,85512300,7.13
Airlift,4500000,32000000,7.11
Madagascar,75000000,532680671,7.1
Ace Ventura: When Nature Calls,30000000,212385533,7.08
Paul Blart: Mall Cop,26000000,183293131,7.05
The Simpsons Movie,75000000,527068851,7.03
District 9,30000000,210819611,7.03
Half Nelson,700000,4911725,7.02
The Shallows,17000000,119100758,7.01
Capote,7000000,49084830,7.01
Save the Last Dance,13000000,91038276,7.0
A Room with a View,3000000,20966644,6.99
For Your Eyes Only,28000000,195312802,6.98
Winter's Bone,2000000,13831503,6.92
The Avengers,220000000,1519557910,6.91
The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,6.91
Ayurveda: Art of Being,300000,2074000,6.91
Saving Private Ryan,70000000,481840909,6.88
End of Watch,7000000,48126384,6.88
Big Daddy,34200000,234801895,6.87
The Land Before Time,12300000,84460846,6.87
The Incredibles,92000000,631442092,6.86
No Country for Old Men,25000000,171600000,6.86
Friday the 13th Part VII: The New Blood,2800000,19170001,6.85
Sideways,16000000,109502303,6.84
Apollo 13,52000000,355237933,6.83
Rambo: First Blood Part II,44000000,300400432,6.83
Cloverfield,25000000,170764026,6.83
Gravity,105000000,716392705,6.82
Chicago,45000000,306776732,6.82
Octopussy,27500000,187500000,6.82
17 Again,20000000,136267476,6.81
Saw 3D,20000000,136150434,6.81
Niagara,1250000,8500000,6.8
Taken 3,48000000,325771424,6.79
Mortal Kombat,18000000,122195920,6.79
Pitch Perfect,17000000,115350426,6.79
The Jungle Book 2,20000000,135680000,6.78
Catch Me If You Can,52000000,352114312,6.77
Act of Valor,12000000,81272766,6.77
The Game Plan,22000000,147880543,6.72
My Bloody Valentine,15000000,100734718,6.72
Y tu mamá también,5000000,33616692,6.72
Hot Fuzz,12000000,80573774,6.71
Skyline,10000000,66821036,6.68
Human Traffic,600000,4000000,6.67
Walk the Line,28000000,186438883,6.66
True Grit,38000000,252276927,6.64
The Hunt for Red October,30000000,199200000,6.64
Caddyshack,6000000,39846344,6.64
Bringing Down the House,20000000,132675402,6.63
WarGames,12000000,79567667,6.63
Volver,12899867,85582407,6.63
Jackass Number Two,11000000,72778712,6.62
Step Up 2: The Streets,23000000,150816700,6.56
To Kill a Mockingbird,2000000,13129846,6.56
Men in Black,90000000,589390539,6.55
Up in the Air,25000000,163670000,6.55
Silent House,2000000,13101672,6.55
The Vow,30000000,196114570,6.54
2001: A Space Odyssey,10500000,68700000,6.54
Stand by Me,8000000,52287414,6.54
The Hunger Games: Catching Fire,130000000,847423452,6.52
Ice Age,59000000,383257136,6.5
300,65000000,422610419,6.5
Rocky Balboa,24000000,155721132,6.49
Friday the 13th Part VI: Jason Lives,3000000,19472057,6.49
Meet the Fockers,80000000,516642939,6.46
The Firm,42000000,270248367,6.43
Vicky Cristina Barcelona,15000000,96408652,6.43
The Curse of the Were-Rabbit,30000000,192452832,6.42
The Boy,10000000,64188367,6.42
House at the End of the Street,6900000,44287131,6.42
Tiny Furniture,65000,416498,6.41
Mr. Smith Goes to Washington,1500000,9600000,6.4
Martin Lawrence Live: Runteldat,3000000,19184015,6.39
The Addams Family,30000000,191502426,6.38
"It's a Mad, Mad, Mad, Mad World",9400000,60000000,6.38
Spring Breakers,5000000,31724284,6.34
A Lonely Place to Die,4000000,25345000,6.34
The Bourne Ultimatum,70000000,442824138,6.33
Beneath the Planet of the Apes,3000000,18999718,6.33
Barbershop,12000000,75781642,6.32
Pocahontas,55000000,346079773,6.29
As Good as It Gets,50000000,314178011,6.28
American Hustle,40000000,251171807,6.28
The Crow,15000000,94000000,6.27
Mystic River,25000000,156822020,6.27
Harry Potter and the Order of the Phoenix,150000000,938212738,6.25
