name,film_count,avg_revenue
Mike Nichols,3,86472369.0
Mike Judge,3,8057299.67
Miguel Arteta,3,41457125.0
Michel Gondry,3,103931323.0
Michael Ritchie,3,41162095.67
Michael Curtiz,3,9399500.0
Mel Gibson,3,314024903.33
Matt Reeves,3,301851401.67
Mark L. Lester,3,25618574.67
Mark Dindal,3,162442329.67
Marc Webb,3,506218674.33
Marc Lawrence,3,108177196.67
Lewis Gilbert,3,169110519.67
Len Wiseman,3,196860240.67
Lars von Trier,3,20841365.0
Kirk Jones,3,97037691.0
King Vidor,3,18200000.0
Kimberly Peirce,3,35047341.67
Kevin Rodney Sullivan,3,57219550.0
Kevin Macdonald,3,49899322.0
Kevin Costner,3,170043791.67
Kenneth Branagh,3,347796692.67
Kathryn Bigelow,3,69996560.67
Justin Lin,3,376025927.67
Joss Whedon,3,987943689.33
Jonathan Lynn,3,57971082.0
Jonathan Liebesman,3,326888918.67
Jonathan Levine,3,53022806.67
Jonathan Demme,3,191842442.0
Jon Amiel,3,100138139.33
John Whitesell,3,89701848.67
John Stockwell,3,37735413.67
John Requa,3,102488731.67
John Musker,3,293558033.0
John Hillcoat,3,15107765.0
John Boorman,3,20652534.67
Joe Russo,3,666167478.33
Joe Johnston,3,282484677.67
Joe Carnahan,3,49005324.33
Jodie Foster,3,37257529.67
Jim Sheridan,3,42754405.67
Jesse Dylan,3,106225023.67
Jeff Wadlow,3,37458368.33
Jeff Nichols,3,10299765.33
Jean-Marc Vallée,3,45036571.67
Jane Campion,3,40380026.0
James Wong,3,81240490.67
James L. Brooks,3,139296095.0
James Gunn,3,268697251.67
James Gray,3,21314251.33
James DeMonaco,3,105566451.33
James Bobin,3,181645870.33
James Algar,3,147213906.67
J.C. Chandor,3,12539943.0
Hugh Wilson,3,100953972.0
Henry Joost,3,144076373.33
Gregory Hoblit,3,44292233.0
Greg Mottola,3,78726551.0
Glenn Ficarra,3,102488731.67
Gina Prince-Bythewood,3,26817413.33
"George Tillman, Jr.",3,44969972.0
George Sidney,3,8630666.67
George P. Cosmatos,3,119686679.0
Gary Ross,3,288194362.33
Frank Miller,3,79057591.0
Fernando Meirelles,3,44317806.33
Elia Kazan,3,8466666.67
Duncan Jones,3,196923328.0
Don Bluth,3,87006609.33
Dominic Sena,3,132162913.33
Denis Villeneuve,3,71085447.0
Dean Parisot,3,101051114.67
Dean DeBlois,3,416591111.33
Davis Guggenheim,3,18102286.33
David Yates,3,742971665.33
David Slade,3,260339843.0
David Raynr,3,12700835.67
David Hand,3,178564212.0
David Dobkin,3,82497770.67
Christopher McQuarrie,3,306598711.67
Chris Wedge,3,304126921.33
Chris Sanders,3,408609738.0
Chris Renaud,3,796744726.0
Charles Martin Smith,3,56991143.0
Bruce Beresford,3,114784768.33
Breck Eisner,3,107054178.67
Brad Peyton,3,312889118.67
Brad Furman,3,54488784.0
Boaz Yakin,3,73673374.67
Billy Wilder,3,20333333.33
Betty Thomas,3,257052582.33
Baltasar Kormákur,3,132822665.0
Ariel Schulman,3,144076373.33
Anton Corbijn,3,35059562.33
Anthony Russo,3,666167478.33
Anthony Minghella,3,177929399.67
Angelina Jolie,3,55824853.33
Andrew Davis,3,169155842.33
Anand Tucker,3,13836923.0
Alexandre Aja,3,75082772.33
Alex Kendrick,3,26052289.67
Alejandro Amenábar,3,31749275.67
Albert Hughes,3,86521956.67
Alan Parker,3,60000930.0
